場所,キャッチコピー,説明
白川郷,ライトアップが幻想的。ユネスコ世界遺産,岐阜県の白川郷エリアは、庄内川流域に伝統的な合掌造りが数多く並ぶ集落。建物は現在でも民家や民宿として生活に用いられ、白山山麓の自然とも相まってユネスコの世界遺産に登録されています。毎年冬に行われるライトアップはとても幻想的です。
ひらかたパーク,40種類のアトラクションが魅力。世代を問わず楽しめる,ほのぼの系マシンから絶叫マシンまで、約40種類のアトラクションがそろうテーマパークです。美しい英国風庭園の広がるローズガーデンや、動物と出会える屋内型動物園わくわく動物村もあり、世代を問わず楽しめます。観覧車や激流下り、ムービーシアターなど雨の日でも遊べるのが魅力です。
恵比寿ガーデンプレイス,バカラシャンデリアが魅力。恵比寿のランドマーク,街の名前の由来となったヱビスビールの醸造場の跡地に、複合都市のパイオニアとして1994年10月に誕生した恵比寿のランドマークです。美しい建物と個性輝く文化施設、レストランなどがあります。バカラシャンデリアが輝くクリスマスイルミネーションも魅力です。
袋田の滝,凍結した滝が神秘的。日本三名瀑のひとつ,四季折々の美しい変化を楽しめる、高さ120m・幅73mを誇る日本三名瀑のひとつです。滝の流れが大岩壁を四段に落下することから、別名、四度の滝とも呼ばれています。冬の凍結した滝の神秘的な美しさも魅力です。
メタセコイア並木,全長2.4kmメタセコイア、冬は雪の花に,滋賀県のマキノ高原へと続いており、全長2.4kmにわたり約500本のメタセコイアが楽しめる並木道。樹高12ｍにも及び、天に向かって幹を伸ばすそのたくましさに絶賛です。枯れ木を雪が覆う冬の光景は、まさに雪の花といえるでしょう。
鳥取砂丘,冬は真っ白の銀世界。心躍るアクティビティも魅力,四季に応じて、また昼夜で、刻々とその姿を変える豊かな表情が魅力です。景観を楽しむだけでなく、らくだライド体験やサンドボードなど、砂丘ならではの心躍るアクティビティも体験可能。雪の積もった砂丘は、一面が真っ白の銀世界に変わり、幻想的な風景を鑑賞することができます。
東京ミッドタウン,冬にはイルミネーションが楽しめる。暮らしを彩る商業施設,暮らしを彩るさまざまな施設が集まる商業施設です。上質な日常を提案する場所でありつつ、その総面積の40%を占めるグリーンが、都市での安らぎを与えます。冬にはイルミネーションイベントが開催されるのも魅力です。
江の島シーキャンドル,江の島のシンボル。11月下旬からライトアップも,江の島サムエル・コッキング苑の中にある展望灯台で、避雷針まで入れた高さは59.8ｍです。その斬新なスタイルは、江の島の新しいシンボルとして親しまれています。11月下旬から2月下旬頃まで一帯がライトアップされる祭典は、関東三大イルミネーションに認定されているのも魅力です。
旭山動物園,活き活きとした動物の姿を見ることができる最北の動物園,旭山動物園は、日本の最北にある動物園です。行動展示という動物たちの本来の生態を引き立てる展示方法により、動物たちの活き活きとした様子が間近で見られます。飼育スタッフによる動物の解説を聞きながら、動物の食事風景を見ることができる「もぐもぐタイム」は必見です。
白い恋人パーク,季節に合わせたイベント開催。製造ラインを見学できる,白い恋人の製造ラインが見学できる、見て・食べて・楽しむことができるお菓子のテーマパークです。約14cmのハート型の白い恋人を作る、お菓子作り体験工房などがあります。また、季節に合わせたイベントも開催されていますよ。
東京ディズニーランド,冬はクリスマスイベント。夢と魔法の王国,夢と魔法の王国をイメージしたディズニーパーク。パーク内は、アメリカの町並やおとぎ話の世界・未来の国など、コンセプトの異なる複数のテーマランドに分かれています。11月から12月にかけては、クリスマスイベントが開催され、きらびやかなクリスマスツリーをはじめとするデコレーションを楽しめるのもポイントです。
大通公園,四季折々の美しい植物やイベント。長さ約1.5kmの公園,"大通公園は札幌市の中心部に位置し、大通西1丁目から大通西12丁目までの長さ約1.5km、面積約7.8haの特殊公園です。美しい花壇・芝生、約90種4,700本におよぶ樹木が見られます。四季折々の美しい植物やイベントなどにより、1年を通して多くの観光客、市民に親しまれている公園です。"
京都府立植物園,地下鉄北山駅からすぐ。広大な敷地と大きな温室,24万平方メートルという広大な敷地に、大きな温室をはじめ、四季の花壇やうっそうとした自然森、明るく開けた芝生など、日本と世界の植物が勢揃い。開園は大正13年で、学びをサポートすると共に、市民の憩いの場としても親しまれています。今年の冬は夜間開放され、光・音・プロジェクションを楽しめるのも魅力です。
新宿御苑,和と洋の雰囲気が味わえる都民のオアシス,神宮外苑の西北部に所在し、明治12年5月新宿植物御苑となり、戦後一般公開された国の庭園です。旧正門付近の整然としたフランス式庭園から、中央の広々とした大芝生を経て、池泉回遊型の日本式風景園に至るスケールの大きな名園。土・日曜には、都民のオアシスとして賑わいを見せます。
